group,link,title,element1,element2,desc,label,role,cover
info,,,,,Updated: October.2025,time,,
info,,,,,"Currently, I design full-stack news visualizations at South China Morning Post Graphics in Hong Kong. ",background,,info/hkvictoria.png
info,,,,,My journey has also included leading creative production at the Global-Comm Lab of China News Service and working as a graphics reporter and product manager at Xinhua Media Creatives. ,background,,info/beijingtns.png
info,,,,,"Each role taught me how to adapt, innovate, and collaborate across disciplines and cultures.",background,,
info,,,,,With an industrial design ,skill,,info/tjuniv.png
info,,,,,"and information design background, ",skill,,info/koreauniv.png
info,,,,,"I thrive at the intersection of creativity and technology. I'm skilled in Adobe,Blender, Tableau, and Figma, ",skill,,
info,,,,,"building and interactive experiences with d3.js, GSAP, and three.js. I also embrace AIGC creativity, exploring new ways to co-create with technology. ",skill,,info/nanyangtech.png
info,,,,,"With a Ph.D. in Communication, my work is grounded in research and reflection—studying how visual narratives inform, persuade, and resonate. ",researchBk,,info/um.png
info,,,,,"I also care deeply about teaching, mentoring the next generation of data storytellers to think critically, design boldly, and experiment fearlessly.",researchBk,,
stories,https://multimedia.scmp.com/infographics/news/hong-kong/article/3326461/,When a typhoon hits Hong Kong,,,,"3D,scrollytelling,multimedia,science,culture","Developer,planner,3Dmodeler",img/tclife.gif
stories,https://multimedia.scmp.com/infographics/news/world/article/3294195/trump_orbit/,Power players: Trump’s team and views on China,,,,"interactive,scrollytelling,politics",Developer,img/tpobt.gif
stories,https://multimedia.scmp.com/infographics/sport/article/3271702/paris-2024-openning-ceremony/index.html,"A different opening, the River Seine scenario",,,,"scrollytelling,culture",Developer,img/opening.gif
stories,https://multimedia.scmp.com/infographics/news/china/article/3300868/china_us_powers/index.html?1,The China-US face-off,,,,"interactive,scrollytelling,politics",Developer,img/cufo.gif
stories,https://multimedia.scmp.com/infographics/news/world/article/3320825/hiroshima_nagasaki/index.html,"Hiroshima and Nagasaki, visualising the human toll from the world’s first nuclear attacks",,,,"scrollytelling,politics",Developer,img/atmbmb.gif
stories,https://multimedia.scmp.com/infographics/news/hong-kong/article/3275641/panda-tracker/,Panda twins tracker,,,,"interactive,society",Developer,img/panda.gif
